year,month ,day,meanTemp,highTemp,highTempTime,lowTemp,lowTempTime,heatDegreeDays,coolDegreeDays,precip,meanWindSpeed_kmh,gustSpeed_kmh,timeGust,dominantWindDir
2005,5,30,21.2,26,10:00a,18.7,6:00a,0,2.8,15,1.4,19.3,4:00p,N
2005,5,31,19.3,22.3,12:00p,17.3,12:00m,0.1,1,64.3,2.4,17.7,6:00a,NNW
2005,6,1,20,24.6,2:00p,16.6,4:00a,0.3,1.9,0,2.1,17.7,12:00p,NNW
2005,6,2,19.9,26,10:00a,17.8,4:00a,0.1,1.7,2.5,1.9,17.7,12:00p,NNW
2005,6,3,20.8,25.8,12:00p,17.7,6:00a,0,2.5,2.3,1.4,19.3,2:00p,N
2005,6,4,19.7,23.7,10:00a,17.7,10:00p,0.1,1.5,19.8,1.3,11.3,8:00a,N
2005,6,5,19.9,23.8,2:00p,17.7,6:00a,0.1,1.7,4.6,2.9,29,12:00m,N
2005,6,6,20.3,27.3,12:00p,17,6:00a,0.2,2.1,10.7,6,29,2:00a,NNW
2005,6,7,19.3,23.8,2:00p,17.2,6:00a,0.2,1.2,14.5,3.1,19.3,8:00p,NNW
2005,6,8,19.4,25.5,12:00p,17.9,4:00a,0.1,1.2,22.1,3.5,19.3,10:00a,NNW
2005,6,9,19.6,24.5,10:00a,17.7,2:00a,0.1,1.4,59.4,2.3,22.5,2:00a,NNW
2005,6,10,19.1,22.9,12:00p,17.3,12:00m,0.1,0.8,8.9,2.6,20.9,2:00a,NNW
2005,6,11,20.4,26.6,2:00p,17,4:00a,0.2,2.2,1.8,3.5,20.9,8:00a,NNW
2005,6,12,20.9,25.6,12:00p,18.1,4:00a,0.1,2.6,0,1.8,17.7,10:00p,NNW
2005,6,13,20.1,25.4,12:00p,18.5,12:00m,0,1.7,9.9,1.6,16.1,12:00m,SSW
2005,6,14,19.3,24.1,2:00p,17.8,4:00a,0.1,1,11.2,1.3,20.9,6:00p,SSW
2005,6,15,21.1,26.3,2:00p,17.1,4:00a,0.1,2.9,0.5,1,19.3,2:00p,S
2005,6,16,21.1,25.4,12:00p,19.3,2:00a,0,2.7,2.5,1.6,19.3,4:00p,NNW
2005,6,17,20.5,25.1,10:00a,18.7,12:00m,0,2.2,8.9,2.7,22.5,12:00m,NNW
2005,6,18,20.5,25,2:00p,17.9,6:00a,0,2.2,0.3,1.1,19.3,10:00a,NNW
2005,6,19,21,24.5,2:00p,19.1,6:00a,0,2.7,1.8,1.9,17.7,4:00a,NNW
2005,6,20,20.3,24.3,4:00p,17.8,6:00a,0.1,2,1.3,2.1,22.5,12:00p,SSE
2005,6,21,19.8,25,4:00p,17.6,12:00m,0.1,1.5,26.4,2.1,19.3,4:00p,NW
2005,6,22,19.3,23.6,2:00p,17.5,6:00a,0.2,1.1,8.4,3.2,19.3,12:00p,NNW
2005,6,23,19.8,25.3,12:00p,17.7,4:00a,0.1,1.5,7.6,1.3,17.7,12:00p,NNW
2005,6,24,19.8,24.8,12:00p,17.9,6:00a,0.1,1.5,5.1,1.9,16.1,10:00a,NNW
2005,6,25,19.6,25.6,12:00p,17.3,10:00p,0.2,1.4,43.2,2.6,22.5,4:00p,N
2005,6,26,19.9,25.1,12:00p,18.3,2:00a,0,1.6,7.9,1.8,17.7,10:00a,NNW
2005,6,27,20.6,27.7,2:00p,17.9,6:00a,0.1,2.3,17.3,2.3,19.3,2:00a,NNW
2005,6,28,19.4,24.2,12:00p,17.8,12:00m,0.1,1.1,19,1.1,16.1,12:00p,SSE
